cpu,myRandomID,fixedID,myId,randomID,randomIDBase64,randomUUID,secureRandomID,secureRandomIDBase64,secureRandomStrongID,secureRandomStrongIDBase64,threadLocalRandomID,threadLocalRandomIDBase64,timestampFNVID,timestampFNVIDBase64,timestampID,timestampSHA1ID,timestampSequenceFNVID,timestampSequenceFNVIDBase64,timestampSequenceID,timestampSequenceSHA1ID
28,71218.482,4358342022,1392094.136,1549971.533,1593816.044,171894.832,344916.332,390412.638,66741.213,76190.26,187782325.1,162754157.7,17334123.79,17251615.84,50307533.32,1195416.726,4240229.129,1872165.953,4242595.123,1174113.975
29,71313.466,3079197124,4254421.723,935376.823,1590576.538,169734.995,357286.257,387658.257,71819.501,78384.748,193051509.8,165189694.1,18300709.27,17493494.72,52456310.6,1158644.106,4217476.993,4207743.867,4254029.529,1058622.482
30,70592.368,4614540278,4261827.643,1361587.95,1533002.932,176023.794,353962.823,393064.344,72138.079,74066.042,191311944.7,163112428.9,18440351.31,18307045.95,52894296.4,1398351.27,2722142.268,1796628.584,4246671.915,1060945.967
31,70972.428,4699574405,4238264.895,1653527.841,1612646.545,168539.263,361361.205,401637.883,69768.333,73727.403,200498707.6,177231154.7,17841958.54,18554767.92,54497335.92,1134246.38,1851730.546,4219853.139,4269307.405,1099438.705
32,72684.969,4994206169,4239539.828,1584505.652,1514046.614,163619.26,365720.359,402080.977,71133.657,77772.932,166041690.9,180150590.1,18751679.48,18381781.9,54557486.9,1128595.977,4229468.723,4222893.563,4232331.275,1025383.003
33,70525.849,4991461149,4336621.275,1533852.218,1631472.727,177985.459,354468.068,409949.658,73581.263,75207.799,205895400.4,182026873.4,18925602.36,18528512.71,54506482.74,1181211.789,4319794.11,4154570.516,4341753,1129132.643
34,71737.822,4996388217,4443034.27,1697722.239,1531642.117,175529.561,370610.255,368103.554,71685.606,76724.777,209168878.8,173944701.2,18671068.64,17865172.48,53425652.02,1107389.392,4435208.278,4393252.701,4495117.851,1114256.53
35,71860.104,4959621593,4484280.365,1723799.3,1645651.806,175579.944,270917.624,378819.499,69759.562,78443.273,205437572.2,183328964,18857347.63,17687150.73,53773526.71,1088554.611,2272482.523,4460680.54,4608205.906,1165031.558
36,70702.835,4945876736,4630635.589,1684408.769,1341187.892,173229.699,368630.183,389017.854,71536.745,79269.533,203399935.5,178079603.7,17714689.1,18414084.69,54101768.57,1096163.365,4593800.925,4489101.792,4709841.595,1181463.941
37,71213.136,5004174537,2002818.197,1583163.458,1631674.268,173384.409,349703.838,407407.427,66251.163,74280.906,187937310.4,181566669.7,18379937.98,18283441.74,53748348.84,1074080.457,4538457.105,3775385.164,4743215.787,1099198.905
38,71880.734,5018321622,4800249.947,1889095.952,1391973.797,176054.06,359193.287,404020.603,72644.923,77425.856,199413070.3,180360179.1,17688977.24,18025320.55,53256571.63,1153228.652,4758275.414,4721313.49,4878990.314,1032524.858
39,71581.496,4816745936,4726625.323,1794344.17,1751755.493,167529.753,373484.726,384857.342,69771.016,76848.913,204179805.7,183904464.7,18823506.21,17775042.24,54872881.25,1219227.85,4778750.143,4809695.245,5014266.489,1001031.432
40,71748.793,5010813721,4816246.192,1626577.419,1966499.506,172904.779,367990.865,393485.837,70145.708,85234.509,203451631.9,175492057.6,17641184.88,18392698.93,53878395.54,1063149.597,4908960.387,4833831.427,5105880.198,1023506.911
41,70863.133,5016226349,5039384.455,1785778.236,1793862.357,162396.998,370553.185,346291.684,72791.89,77362.012,203424688.8,180658574.1,18695520.53,18461112.3,52701624.1,1124592.268,5056832.321,5063954.994,5196777.799,1055436.986
42,71224.761,5028661968,2088971.541,1937576.859,1901927.756,173113.792,387462.897,404594.472,67162.739,80178.29,205163504.9,177413050.1,18472053.69,18385986.37,54382153.52,1120839.794,5096392.353,5051427.879,5229389.472,1108251.651
43,72084.661,4923039809,5260444.717,1365197.583,1825522.228,169547.003,378955.937,376627.659,67782.95,77376.668,206640234.1,183704082,18541159.05,17786415.84,53934336.9,1075907.695,5250480.295,5283972.3,5399302.734,1096192.541
44,70945.797,5025854815,5525007.9,1759954.605,1493215.339,166354.528,357102.556,394352.344,71928.275,78791.53,205060563.2,183590524.3,18777915.42,17551059.4,54112971.46,1186788.605,5296222.446,5307195.959,5495423.937,1042140.92
45,68626.825,5034745590,5558066.978,1779830.26,1772107.409,182005.185,369760.337,395672.497,72215.988,76202.177,205981550.3,180357344.2,18173529.42,18280652.34,54486212.72,1124378.595,5406218.377,5549740.301,5566680.795,1067551.946
46,71336.058,4997591840,5563429.165,1775449.849,1721002.762,178548.537,377658.393,413823.055,68836.551,87674.782,196868102.8,178790770.1,18678634.5,18090104.46,52821653.56,1135935.363,5693285.869,5608236.302,5858668.942,1081241.615
47,72080.9,5001822265,5890367.694,2415454.191,1563931.512,178668.03,328284.532,424063.927,68684.431,80771.543,202905071.3,180293056.1,18399158.13,18399544.65,53416150.14,1160357.39,5636340.464,5665625.474,6107636.068,1040104.785
48,73880.464,5030698998,1896573.003,2584900.315,1784550.097,180587.396,321279.546,408548.044,72833.054,82596.517,202076534.8,180295409.1,18208569.41,18246627.37,51228587.98,1109046.976,5868861.057,5791877.47,6106294.646,1065110.429
49,71836.954,5027687561,5888368.73,2047083.859,1729464.839,189122.085,379139.6,386576.873,70313.413,72296.641,205557389,179556566.7,18304603.91,17495893.25,51475641.33,1084947.396,6042260.357,5814864.199,6169430.28,1077475.075
50,74528.338,4976412877,6074131.392,1909210.795,1716303.134,180616.857,386502.246,401194.709,74040.371,68074.459,206580475.6,181248118.5,17891435.67,18504917.55,53389779.43,1086295.927,5978612.913,6055513.559,6432119.241,1057656.805
51,71975.321,4965477453,6200949.83,2503428.517,1838549.539,186158.328,354907.484,398444.322,73508.297,83051.822,194274890.8,178982295.6,18015731.12,18158946.86,53935162.48,1037664.037,6097357.153,6181706.344,6420933.465,992062.897
52,70798.858,5028553239,6459345.246,1925758.031,1716897.031,179676.93,377522.028,419136.498,72161.033,1258437.504,210225921.3,180709704.6,18671188.25,18184721.67,52933603.18,1102152.709,6545397.591,5859707.103,6651169.39,1095333.807
53,74843.76,3883318117,6582730.198,1871169.395,2163119.648,182822.084,367219.627,410128.314,75079.794,86704.129,210209675.5,170878034.5,18402683.01,18365534.55,52781964.36,1028672.7,6397347.833,6518274.322,6768626.179,1008455.9
54,71842.804,5043423628,6871459.492,2157280.913,1873799.567,183655.755,358593.556,392358.812,73357.109,78854.435,207009766.3,174217082.2,17988784.67,17558318.31,53272013.74,1093309.143,6530887.401,6353693.46,6943827.691,936945.487
55,71465.895,5004599403,6751526.056,2471778.438,1879424.752,190054.31,342214.948,365812.722,74493.311,81404.013,197768875.8,176027282.2,17912448.74,18124778.14,53231841.12,1102009.955,6657654.931,6558183.535,7039234.4,1015248.279
56,73177.466,5048055443,6931215.134,2098451.464,1843804.421,186853.529,289344.807,392164.008,73884.869,1488304.325,208998246.3,181600966.7,18568978.34,17300391.18,51832928.95,1038351.811,6770178.704,6859085.201,7100538.634,1015583.283
57,70263.817,5053625573,7001373.003,2969239.488,1930561.702,174455.477,343035.028,385462.87,73809.674,81991.136,211735091.3,178382434.8,18518873.04,18050850.7,54150814.01,1068528.177,6814053.208,6957948.184,7390980.753,984778.825
58,70859.424,5037105686,7301898.491,2656736.744,2457693.832,181258.728,251157.01,382794.395,74788.152,77804.524,201319051.7,181029214.2,18457984.86,18074963.84,50839157.71,1019424.492,7058245.145,7142544.345,7410522.898,964594.367
59,69918.518,5035905755,7442063.649,2172655.517,2006027.775,178012.541,332395.229,378126.9,75053.249,82326.287,208839005.7,177544178.5,18716995.38,18112086.71,54119156.83,1134575.146,7278330.667,7293086.879,7733915.749,933307.408
60,70840.942,5042983571,7601971.371,2457715.673,2151947.705,182176.103,358252.48,394683.911,72517.186,107254.223,215672626.1,184990568.4,18826076.8,18453401.27,53740801.42,1065715.883,7358566.219,7177517.013,7574505.593,1076302.197
61,71087.666,5065701086,7691492.219,2566126.823,2228742.556,181314.104,356340.787,396412.356,73709.666,80234.271,207613039.7,180308636.5,18775417.05,18345457.17,54621633.6,1145831.057,7484683.262,6846713.122,7944005.566,1055325.713
62,72312.873,5062796010,7696428.014,2532700.578,1969892.695,178268.039,269392.825,387070.363,71853.492,411471.822,215572748.3,183832951.7,18994543.58,18552721.41,54042458.64,1058448.404,7489959.655,7425423.962,8054608.687,1079407.904
63,73472.642,5075223857,3864358.874,2838449.413,2033254.724,177621.885,392306.518,405956.846,72296.779,80491.281,215204750.3,183214193.3,18909199.68,18129869.27,53979159.21,1082825.679,7440013.445,7577406.805,8260152.615,1021244.978
64,71951.62,5074611083,8082101.985,2197164.579,2026563.453,165004.812,352628.485,399043.533,73937.033,83467.475,214928413.1,183266526.7,18841893.07,18404326.13,54379515.84,1081144.037,7763615.072,7528486.697,8370151.781,1049620.075
